"id","heimverein","gastverein","heimtore","gasttore","anstoss","heimbild","gastbild","spielgruppe","statuswort"
65,"FC St. Pauli","1. FSV Mainz 05",1,2,"2026-05-03 13:30:00+00","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Fc_st_pauli_logo.svg/960px-Fc_st_pauli_logo.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/960px-Logo_Mainz_05.svg.png","3_Sonntagsspiele","ausgewertet"
14,"SC Freiburg","Bayern München",2,3,"2026-04-04 13:30:00+00","https://upload.wikimedia.org/wikipedia/de/thumb/b/bf/SC_Freiburg_Logo.svg/960px-SC_Freiburg_Logo.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/FC_Bayern_M%C3%BCnchen_logo_%282024%29.svg/960px-FC_Bayern_M%C3%BCnchen_logo_%282024%29.svg.png","2_Samstagsspiele","ausgewertet"
15,"TSG 1899 Hoffenheim","1. FSV Mainz 05",1,2,"2026-04-04 13:30:00+00","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Logo_TSG_Hoffenheim.svg/960px-Logo_TSG_Hoffenheim.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/960px-Logo_Mainz_05.svg.png","2_Samstagsspiele","ausgewertet"
17,"Hamburger SV","FC Augsburg",1,1,"2026-04-04 13:30:00+00","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Hamburger_SV_logo.svg/1280px-Hamburger_SV_logo.svg.png","https://upload.wikimedia.org/wikipedia/de/thumb/b/b5/Logo_FC_Augsburg.svg/960px-Logo_FC_Augsburg.svg.png","2_Samstagsspiele","ausgewertet"
22,"VfB Stuttgart","Borussia Dortmund",0,2,"2026-04-04 16:30:00+00","https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VfB_Stuttgart_1893_Logo.svg/960px-VfB_Stuttgart_1893_Logo.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/960px-Borussia_Dortmund_logo.svg.png","2_Samstagsspiele","ausgewertet"
21,"1. FC Union Berlin","FC St. Pauli",1,1,"2026-04-05 13:30:00+00","https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/1._FC_Union_Berlin_Logo.svg/1920px-1._FC_Union_Berlin_Logo.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Fc_st_pauli_logo.svg/960px-Fc_st_pauli_logo.svg.png","3_Sonntagsspiele","ausgewertet"
23,"Eintracht Frankfurt","1. FC Köln",2,2,"2026-04-05 15:30:00+00","https://upload.wikimedia.org/wikipedia/de/thumb/3/32/Logo_Eintracht_Frankfurt_1998.svg/960px-Logo_Eintracht_Frankfurt_1998.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/1._FC_Koeln_Logo_2014%E2%80%93.svg/960px-1._FC_Koeln_Logo_2014%E2%80%93.svg.png","3_Sonntagsspiele","ausgewertet"
16,"Werder Bremen","RB Leipzig",1,2,"2026-04-04 13:30:00+00","https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/960px-SV-Werder-Bremen-Logo.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/2019-07-12_Fu%C3%9Fball%3B_Freundschaftsspiel_RB_Leipzig_-_FC_Z%C3%BCrich_1DX_0881_by_Stepro_2.png/1920px-2019-07-12_Fu%C3%9Fball%3B_Freundschaftsspiel_RB_Leipzig_-_FC_Z%C3%BCrich_1DX_0881_by_Stepro_2.png","2_Samstagsspiele","ausgewertet"
18,"Borussia Mönchengladbach","1. FC Heidenheim 1846",2,2,"2026-04-04 13:30:00+00","https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Borussia_M%C3%B6nchengladbach_logo.svg/960px-Borussia_M%C3%B6nchengladbach_logo.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/1._FC_Heidenheim_1846.svg/960px-1._FC_Heidenheim_1846.svg.png","2_Samstagsspiele","ausgewertet"
19,"Bayer Leverkusen","VfL Wolfsburg",6,3,"2026-04-04 13:30:00+00","https://upload.wikimedia.org/wikipedia/de/thumb/f/f7/Bayer_Leverkusen_Logo.svg/1280px-Bayer_Leverkusen_Logo.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Logo-VfL-Wolfsburg.svg/960px-Logo-VfL-Wolfsburg.svg.png","2_Samstagsspiele","ausgewertet"
