"id","user_id","spiel_id","heimtipp","gasttipp","punkte","created_at","updated_at"
104,10,17,2,1,0,"2026-03-22 17:38:45.382321","2026-03-28 15:07:12.839502"
245,5,17,1,0,0,"2026-04-03 08:47:38.020942","2026-04-03 08:47:38.020942"
108,10,22,1,1,0,"2026-03-22 17:38:46.406299","2026-03-28 15:07:14.507629"
254,7,17,1,1,5,"2026-04-03 18:16:29.744186","2026-04-03 18:16:29.744186"
249,5,22,1,0,0,"2026-04-03 08:47:39.699142","2026-04-03 08:47:39.699142"
258,7,22,2,1,0,"2026-04-03 18:16:31.045335","2026-04-03 18:16:31.045335"
95,2,22,2,2,0,"2026-03-22 08:47:46.390406","2026-03-22 08:47:46.390406"
91,2,17,3,1,0,"2026-03-22 08:47:45.267086","2026-03-22 08:47:45.267086"
116,3,21,2,2,3,"2026-03-23 14:02:38.318489","2026-03-23 14:02:38.318489"
112,3,16,2,3,3,"2026-03-23 14:02:37.572106","2026-03-23 14:02:37.572106"
121,6,16,2,0,0,"2026-03-28 11:00:53.851583","2026-03-28 11:01:04.531432"
262,9,16,2,2,0,"2026-04-04 08:28:41.216225","2026-04-04 08:51:49.756247"
280,8,16,1,1,0,"2026-04-04 08:48:29.124716","2026-04-04 08:48:42.726886"
103,10,16,1,2,5,"2026-03-22 17:38:45.091217","2026-03-28 15:07:12.53963"
244,5,16,0,1,3,"2026-04-03 08:47:37.560147","2026-04-03 08:47:37.560147"
125,6,21,0,1,0,"2026-03-28 11:00:55.286121","2026-03-28 11:01:05.705683"
266,9,21,1,2,0,"2026-04-04 08:28:42.246434","2026-04-04 08:51:50.728375"
323,11,21,2,2,3,"2026-04-04 19:45:09.696974","2026-04-04 19:45:11.393696"
253,7,16,1,1,0,"2026-04-03 18:16:29.310157","2026-04-03 18:16:29.310157"
90,2,16,2,1,0,"2026-03-22 08:47:44.957248","2026-03-22 08:47:44.957248"
114,3,18,3,1,0,"2026-03-23 14:02:37.943987","2026-03-23 14:02:37.943987"
123,6,18,1,0,0,"2026-03-28 11:00:54.631849","2026-03-28 11:01:05.121003"
285,8,21,1,2,0,"2026-04-04 08:48:30.396179","2026-04-04 08:48:43.758049"
107,10,21,1,1,5,"2026-03-22 17:38:46.11061","2026-03-28 15:07:14.176781"
264,9,18,2,1,0,"2026-04-04 08:28:41.627361","2026-04-04 08:51:50.162721"
248,5,21,2,0,0,"2026-04-03 08:47:39.418685","2026-04-03 08:47:39.418685"
257,7,21,2,2,3,"2026-04-03 18:16:30.806516","2026-04-03 18:16:30.806516"
94,2,21,0,1,0,"2026-03-22 08:47:46.08226","2026-03-22 08:47:46.08226"
118,3,23,3,2,0,"2026-03-23 14:02:38.695609","2026-03-23 14:02:38.695609"
127,6,23,1,1,3,"2026-03-28 11:00:55.774376","2026-03-28 11:01:06.261126"
270,9,23,2,0,0,"2026-04-04 08:28:42.70251","2026-04-04 08:51:51.149772"
110,3,14,1,3,1,"2026-03-23 14:02:37.189422","2026-03-23 14:02:37.189422"
